task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
63	eb/b67607	4184616	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (37)	COMPLETED	0	2025-07-14 13:57:51.577	11.4s	983ms	106.8%	6.4 MB	8.5 MB	18.4 MB	11.8 MB
62	c9/1f11c1	4186773	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (36)	COMPLETED	0	2025-07-14 13:57:53.241	9.9s	921ms	106.2%	6.3 MB	8.5 MB	17.5 MB	11.2 MB
64	66/73f9e8	4186886	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (38)	COMPLETED	0	2025-07-14 13:57:53.423	10.1s	940ms	108.2%	6.3 MB	8.5 MB	18.1 MB	11.6 MB
65	97/54e259	4187106	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (39)	COMPLETED	0	2025-07-14 13:57:54.226	9.3s	943ms	108.2%	6.4 MB	8.5 MB	18.1 MB	11.6 MB
66	85/5b654e	4187288	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (40)	COMPLETED	0	2025-07-14 13:57:54.404	9.4s	999ms	106.3%	6.3 MB	8.5 MB	18.3 MB	11.7 MB
68	27/54577b	4187329	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (42)	COMPLETED	0	2025-07-14 13:57:54.496	9.4s	1s	107.0%	6.4 MB	8.5 MB	19.5 MB	12.5 MB
67	21/1c5382	4187369	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (41)	COMPLETED	0	2025-07-14 13:57:54.589	9.8s	953ms	106.8%	6.4 MB	8.5 MB	18.1 MB	11.6 MB
69	d7/ee6d7a	4187414	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (43)	COMPLETED	0	2025-07-14 13:57:54.749	10.3s	923ms	106.6%	6.3 MB	8.5 MB	17.2 MB	11 MB
71	26/9e92ab	4187532	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (45)	COMPLETED	0	2025-07-14 13:57:54.806	10.5s	943ms	105.6%	6.3 MB	8.5 MB	17.4 MB	11.2 MB
72	9c/b975f3	4187613	UMI_PIPELINE:UMI_POLISHING:ALIGN_CLUSTER (46)	COMPLETED	0	2025-07-14 13:57:54.899	10.5s	867ms	104.5%	6.3 MB	8.5 MB	15.7 MB	10.1 MB
